# Loss,Accuracy,Learning_Rate,R2,MAE,MSE,RMSE,MAPE
15.0789271434,87.8333333333,0.0010000000,0.9713625897,0.0119173457,0.0015707216,0.0396323300,0.0000000000
12.0905579733,89.2500000000,0.0010000000,0.9770380037,0.0104691617,0.0012594331,0.0354884928,0.0000000000
12.3117239776,89.1666666667,0.0010000000,0.9766179724,0.0105186644,0.0012824712,0.0358116077,0.0000000000
11.9002353267,89.0000000000,0.0010000000,0.9773994583,0.0103574965,0.0012396078,0.0352080651,0.0000000000
12.4062303186,89.5000000000,0.0010000000,0.9764384890,0.0104379954,0.0012923157,0.0359487922,0.0000000000
11.4512941172,88.8333333333,0.0010000000,0.9782520729,0.0101332727,0.0011928431,0.0345375613,0.0000000000
9.6120502507,90.0000000000,0.0010000000,0.9817451054,0.0090549544,0.0010012552,0.0316426174,0.0000000000
9.1228154735,90.2500000000,0.0010000000,0.9826742442,0.0088259217,0.0009502933,0.0308268273,0.0000000000
8.1167378163,90.8333333333,0.0010000000,0.9845849543,0.0080716990,0.0008454935,0.0290773713,0.0000000000
7.4582413098,90.8333333333,0.0010000000,0.9858355496,0.0077769681,0.0007769001,0.0278729284,0.0000000000
6.9731831984,90.2500000000,0.0010000000,0.9867567562,0.0075214330,0.0007263732,0.0269513126,0.0000000000
5.8614978460,91.3333333333,0.0010000000,0.9888680331,0.0068170225,0.0006105727,0.0247097692,0.0000000000
5.9920818727,90.0833333333,0.0010000000,0.9886200321,0.0070372202,0.0006241752,0.0249834985,0.0000000000
3.9758075880,91.8333333333,0.0010000000,0.9924492749,0.0054002335,0.0004141466,0.0203505927,0.0000000000
3.2560950745,92.7500000000,0.0010000000,0.9938161297,0.0045853092,0.0003391766,0.0184167470,0.0000000000
2.7962582885,92.9166666667,0.0010000000,0.9946894368,0.0044550337,0.0002912769,0.0170668364,0.0000000000
2.5552403127,92.9166666667,0.0010000000,0.9951471703,0.0043029421,0.0002661709,0.0163147438,0.0000000000
1.8981579509,93.6666666667,0.0010000000,0.9963950799,0.0034079405,0.0001977248,0.0140614646,0.0000000000
1.7837492258,93.6666666667,0.0010000000,0.9966123612,0.0035092625,0.0001858072,0.0136311119,0.0000000000
1.3340460783,94.5000000000,0.0010000000,0.9974664229,0.0029335333,0.0001389631,0.0117882625,0.0000000000
2.1255918655,91.7500000000,0.0010000000,0.9959631447,0.0041968391,0.0002214158,0.0148800477,0.0000000000
0.7636573975,95.7500000000,0.0010000000,0.9985496866,0.0020853352,0.0000795476,0.0089189487,0.0000000000
1.7866898180,92.2500000000,0.0010000000,0.9966067765,0.0038295139,0.0001861135,0.0136423430,0.0000000000
0.7689699224,95.0000000000,0.0010000000,0.9985395972,0.0023853483,0.0000801010,0.0089499181,0.0000000000
0.6962470195,94.6666666667,0.0010000000,0.9986777102,0.0023683474,0.0000725257,0.0085162040,0.0000000000
0.4738670973,96.4166666667,0.0010000000,0.9991000470,0.0018685360,0.0000493612,0.0070257495,0.0000000000
0.2691352052,97.1666666667,0.0010000000,0.9994888671,0.0013070837,0.0000280349,0.0052948010,0.0000000000
0.6827748384,94.5000000000,0.0010000000,0.9987032961,0.0023258558,0.0000711224,0.0084334085,0.0000000000
0.2803724315,97.4166666667,0.0010000000,0.9994675258,0.0014879588,0.0000292055,0.0054042078,0.0000000000
0.3373392850,96.6666666667,0.0010000000,0.9993593362,0.0016805151,0.0000351395,0.0059278587,0.0000000000
0.6734291376,94.3333333333,0.0010000000,0.9987210452,0.0023397822,0.0000701489,0.0083754921,0.0000000000
0.2901802163,97.0000000000,0.0010000000,0.9994488991,0.0015769542,0.0000302271,0.0054979183,0.0000000000
0.2035201667,97.5000000000,0.0010000000,0.9996134811,0.0012665938,0.0000212000,0.0046043477,0.0000000000
0.2301913866,96.9166666667,0.0010000000,0.9995628280,0.0014180703,0.0000239783,0.0048967611,0.0000000000
0.0561620696,98.3333333333,0.0010000000,0.9998933388,0.0006730313,0.0000058502,0.0024187219,0.0000000000
0.1786491265,97.5000000000,0.0010000000,0.9996607154,0.0013041809,0.0000186093,0.0043138479,0.0000000000
0.5179243520,94.6666666667,0.0010000000,0.9990163748,0.0022584123,0.0000539505,0.0073450972,0.0000000000
0.0323782800,98.2500000000,0.0010000000,0.9999385082,0.0004424967,0.0000033727,0.0018365014,0.0000000000
0.0231944906,98.5833333333,0.0010000000,0.9999559498,0.0003035192,0.0000024161,0.0015543786,0.0000000000
0.0206374292,98.5000000000,0.0010000000,0.9999608061,0.0002690302,0.0000021497,0.0014661965,0.0000000000
0.1155311297,97.8333333333,0.0010000000,0.9997805870,0.0010196496,0.0000120345,0.0034690766,0.0000000000
0.6962703681,93.4166666667,0.0010000000,0.9986776659,0.0026113815,0.0000725282,0.0085163468,0.0000000000
0.0494311610,98.0833333333,0.0010000000,0.9999061219,0.0006406503,0.0000051491,0.0022691583,0.0000000000
0.3016358904,96.9166666667,0.0010000000,0.9994271429,0.0017197724,0.0000314204,0.0056053907,0.0000000000
0.3749826481,95.8333333333,0.0010000000,0.9992878451,0.0018690418,0.0000390607,0.0062498554,0.0000000000
0.4403077824,95.0833333333,0.0010000000,0.9991637817,0.0020829724,0.0000458654,0.0067723994,0.0000000000
0.0399702791,98.1666666667,0.0010000000,0.9999240897,0.0005661519,0.0000041636,0.0020404830,0.0000000000
0.0528979848,97.9166666667,0.0010000000,0.9998995379,0.0006869186,0.0000055102,0.0023473830,0.0000000000
8.8655678337,89.5000000000,0.0010000000,0.9831628006,0.0084687138,0.0009234966,0.0303890877,0.0000000000
0.0134359637,98.5000000000,0.0010000000,0.9999744829,0.0002425578,0.0000013996,0.0011830383,0.0000000000
0.0100910463,98.7500000000,0.0010000000,0.9999808354,0.0001604041,0.0000010512,0.0010252564,0.0000000000
0.0093971503,98.7500000000,0.0010000000,0.9999821532,0.0001389445,0.0000009789,0.0009893785,0.0000000000
0.4057562027,95.8333333333,0.0010000000,0.9992294010,0.0020215358,0.0000422663,0.0065012515,0.0000000000
0.2414445721,97.5833333333,0.0010000000,0.9995414563,0.0015824684,0.0000251505,0.0050150251,0.0000000000
0.0502110609,98.0000000000,0.0010000000,0.9999046408,0.0005925700,0.0000052303,0.0022869890,0.0000000000
0.0251654657,98.3333333333,0.0010000000,0.9999522066,0.0004313456,0.0000026214,0.0016190746,0.0000000000
0.0170497292,98.6666666667,0.0010000000,0.9999676197,0.0002513727,0.0000017760,0.0013326716,0.0000000000
0.0132078208,98.9166666667,0.0010000000,0.9999749161,0.0001419720,0.0000013758,0.0011729513,0.0000000000
0.0128159670,99.0000000000,0.0010000000,0.9999756603,0.0001245784,0.0000013350,0.0011554205,0.0000000000
7.6236996807,89.4166666667,0.0010000000,0.9855213164,0.0083769348,0.0007941354,0.0281804078,0.0000000000
0.0131442208,98.9166666667,0.0010000000,0.9999750369,0.0001480146,0.0000013692,0.0011701238,0.0000000000
0.0125704131,98.9166666667,0.0010000000,0.9999761267,0.0001182321,0.0000013094,0.0011442981,0.0000000000
0.0980555010,97.6666666667,0.0010000000,0.9998137762,0.0009885373,0.0000102141,0.0031959529,0.0000000000
0.1098899368,97.6666666667,0.0010000000,0.9997913006,0.0010253271,0.0000114469,0.0033833221,0.0000000000
0.2031970851,97.6666666667,0.0010000000,0.9996140947,0.0014267072,0.0000211664,0.0046006916,0.0000000000
